"rose_fanfic" "anne_fanfic" "anonymous_fanfic"
"did" 0.196592398427261 0.130890052356021 0.230017251293847
"eyes" 0.0655307994757536 0.0654450261780105 0.402530189764232
"never" 0.327653997378768 0.130890052356021 0.115008625646924
"over" 0.0655307994757536 0.196335078534031 0.287521564117309
"who" 0.196592398427261 0.130890052356021 0.230017251293847
"away" 0.131061598951507 0.392670157068063 0
"before" 0.0655307994757536 0.392670157068063 0.0575043128234618
"by" 0.327653997378768 0.130890052356021 0.0575043128234618
"end" 0.131061598951507 0.0654450261780105 0.287521564117309
"little" 0.0655307994757536 0 0.402530189764232
"now" 0.131061598951507 0.392670157068063 0
"quite" 0.0655307994757536 0.196335078534031 0.230017251293847
"right" 0.0655307994757536 0.392670157068063 0.0575043128234618
"still" 0.196592398427261 0.0654450261780105 0.230017251293847
"things" 0.0655307994757536 0.327225130890052 0.115008625646924
"think" 0.0655307994757536 0.130890052356021 0.287521564117309
"through" 0.196592398427261 0 0.287521564117309
"voice" 0.196592398427261 0 0.287521564117309
"again" 0.0655307994757536 0.261780104712042 0.115008625646924
"any" 0.196592398427261 0.130890052356021 0.115008625646924
"are" 0.327653997378768 0.130890052356021 0
"go" 0 0.392670157068063 0.0575043128234618
"going" 0.196592398427261 0.0654450261780105 0.172512938470385
"good" 0 0.261780104712042 0.172512938470385
"got" 0.131061598951507 0.130890052356021 0.172512938470385
"hello" 0.262123197903014 0.0654450261780105 0.115008625646924
"should" 0.196592398427261 0.0654450261780105 0.172512938470385
"smiled" 0.131061598951507 0.130890052356021 0.172512938470385
"sometimes" 0 0.458115183246073 0
"tell" 0.196592398427261 0.130890052356021 0.115008625646924
"thing" 0.131061598951507 0.261780104712042 0.0575043128234618
"very" 0 0.261780104712042 0.172512938470385
"wanted" 0.262123197903014 0.130890052356021 0.0575043128234618
"yes" 0.262123197903014 0 0.172512938470385
"your" 0.262123197903014 0 0.172512938470385
"couldn" 0.0655307994757536 0.261780104712042 0.0575043128234618
"course" 0.0655307994757536 0.0654450261780105 0.230017251293847
"door" 0 0.0654450261780105 0.287521564117309
"gave" 0.262123197903014 0 0.115008625646924
"hand" 0.196592398427261 0.130890052356021 0.0575043128234618
"here" 0.0655307994757536 0.196335078534031 0.115008625646924
"house" 0 0.392670157068063 0
"isn" 0 0.261780104712042 0.115008625646924
"mum" 0.393184796854522 0 0
"my" 0.196592398427261 0.0654450261780105 0.115008625646924
"next" 0.131061598951507 0.0654450261780105 0.172512938470385
"slightly" 0.196592398427261 0 0.172512938470385
"spare" 0 0.392670157068063 0
"stop" 0.131061598951507 0.130890052356021 0.115008625646924
"time" 0.131061598951507 0.130890052356021 0.115008625646924
"wasn" 0.131061598951507 0.196335078534031 0.0575043128234618
"why" 0.327653997378768 0.0654450261780105 0
"around" 0.131061598951507 0.130890052356021 0.0575043128234618
"because" 0.131061598951507 0.0654450261780105 0.115008625646924
"bit" 0.0655307994757536 0.261780104712042 0
"both" 0 0.0654450261780105 0.230017251293847
"dad" 0.131061598951507 0.130890052356021 0.0575043128234618
"daughter" 0.327653997378768 0 0
"enough" 0 0.196335078534031 0.115008625646924
"face" 0.262123197903014 0 0.0575043128234618
"godfather" 0 0 0.287521564117309
"hands" 0.262123197903014 0.0654450261780105 0
"made" 0.0655307994757536 0.130890052356021 0.115008625646924
"might" 0 0.261780104712042 0.0575043128234618
"much" 0.131061598951507 0.196335078534031 0
"quickly" 0 0.130890052356021 0.172512938470385
"something" 0.131061598951507 0.130890052356021 0.0575043128234618
"too" 0.0655307994757536 0.196335078534031 0.0575043128234618
"train" 0.131061598951507 0.196335078534031 0
"way" 0.131061598951507 0.130890052356021 0.0575043128234618
"while" 0.0655307994757536 0.196335078534031 0.0575043128234618
"window" 0.131061598951507 0 0.172512938470385
"anything" 0.0655307994757536 0.196335078534031 0
"arms" 0.0655307994757536 0.130890052356021 0.0575043128234618
"ask" 0.131061598951507 0.130890052356021 0
"best" 0 0.196335078534031 0.0575043128234618
"bowl" 0 0.261780104712042 0
"came" 0 0 0.230017251293847
"car" 0.262123197903014 0 0
"come" 0.0655307994757536 0.130890052356021 0.0575043128234618
"continued" 0.196592398427261 0 0.0575043128234618
"first" 0.0655307994757536 0 0.172512938470385
"hair" 0.0655307994757536 0.130890052356021 0.0575043128234618
"happy" 0.0655307994757536 0 0.172512938470385
"heard" 0.131061598951507 0 0.115008625646924
"last" 0.0655307994757536 0.0654450261780105 0.115008625646924
"laughed" 0 0 0.230017251293847
"looks" 0 0 0.230017251293847
"new" 0 0.261780104712042 0
"off" 0.131061598951507 0.130890052356021 0
"old" 0.0655307994757536 0.0654450261780105 0.115008625646924
"only" 0.0655307994757536 0.196335078534031 0
"other" 0.196592398427261 0 0.0575043128234618
"owl" 0.131061598951507 0 0.115008625646924
"park" 0.131061598951507 0.130890052356021 0
"perfect" 0.0655307994757536 0 0.172512938470385
"saying" 0.131061598951507 0.130890052356021 0
"seemed" 0.131061598951507 0 0.115008625646924
"side" 0.131061598951507 0.130890052356021 0
"smile" 0.196592398427261 0 0.0575043128234618
"smiling" 0 0 0.230017251293847
"some" 0.131061598951507 0.130890052356021 0
"sorry" 0.262123197903014 0 0
"supposed" 0 0.130890052356021 0.115008625646924
"than" 0 0.130890052356021 0.115008625646924
"their" 0 0.0654450261780105 0.172512938470385
"took" 0.0655307994757536 0.0654450261780105 0.115008625646924
"tried" 0.131061598951507 0.0654450261780105 0.0575043128234618
"until" 0.131061598951507 0.130890052356021 0
"ve" 0.0655307994757536 0 0.172512938470385
"worried" 0.131061598951507 0 0.115008625646924
"wouldn" 0.0655307994757536 0.196335078534031 0
"adam" 0.196592398427261 0 0
"almost" 0.0655307994757536 0.0654450261780105 0.0575043128234618
"anyone" 0.131061598951507 0.0654450261780105 0
"barrier" 0.196592398427261 0 0
"better" 0 0.130890052356021 0.0575043128234618
"clutching" 0.131061598951507 0.0654450261780105 0
"days" 0 0.196335078534031 0
"easier" 0.0655307994757536 0.0654450261780105 0.0575043128234618
"else" 0 0.130890052356021 0.0575043128234618
"embarrassed" 0.196592398427261 0 0
"everyone" 0.131061598951507 0.0654450261780105 0
"everything" 0.0655307994757536 0.130890052356021 0
"far" 0 0.196335078534031 0
"father" 0.131061598951507 0 0.0575043128234618
"felt" 0.0655307994757536 0 0.115008625646924
"few" 0.131061598951507 0.0654450261780105 0
"find" 0.0655307994757536 0.130890052356021 0
"forever" 0 0.130890052356021 0.0575043128234618
